"Town","FIPS","Year","Measure Type","Variable","Value"
"Killingworth","0900740710","2000","Number","Murder",0
"Lebanon","0901142390","2000","Number","Murder",0
"Ledyard","0901142600","2000","Number","Murder",0
"Lisbon","0901143230","2000","Number","Murder",0
"Litchfield","0900543370","2000","Number","Murder",0
"Lyme","0901144210","2000","Number","Murder",0
"Madison","0900944560","2000","Number","Murder",0
"Manchester","0900344700","2000","Number","Murder",0
"Mansfield","0901344910","2000","Number","Murder",0
"Marlborough","0900345820","2000","Number","Murder",0
"Meriden","0900946520","2000","Number","Murder",2
"Middlebury","0900946940","2000","Number","Murder",0
"Middlefield","0900747080","2000","Number","Murder",0
"Middletown","0900747360","2000","Number","Murder",2
"Milford","0900947535","2000","Number","Murder",0
"Monroe","0900148620","2000","Number","Murder",0
"Montville","0901148900","2000","Number","Murder",0
"Morris","0900549460","2000","Number","Murder",0
"Naugatuck","0900949950","2000","Number","Murder",0
"New Britain","0900350440","2000","Number","Murder",1
"New Canaan","0900150580","2000","Number","Murder",0
"New Fairfield","0900150860","2000","Number","Murder",0
"New Hartford","0900551350","2000","Number","Murder",0
"New Haven","0900952070","2000","Number","Murder",18
"New London","0901152350","2000","Number","Murder",1
"New Milford","0900552630","2000","Number","Murder",0
"Newington","0900352140","2000","Number","Murder",0
"Newtown","0900152980","2000","Number","Murder",0
"Norfolk","0900553470","2000","Number","Murder",0
"North Branford","0900953890","2000","Number","Murder",0
"North Canaan","0900554030","2000","Number","Murder",0
"North Haven","0900954870","2000","Number","Murder",0
"North Stonington","0901155500","2000","Number","Murder",0
"Norwalk","0900156060","2000","Number","Murder",3
"Norwich","0901156270","2000","Number","Murder",0
"Old Lyme","0901157040","2000","Number","Murder",0
"Old Saybrook","0900757320","2000","Number","Murder",1
"Orange","0900957600","2000","Number","Murder",0
"Oxford","0900958300","2000","Number","Murder",0
"Plainfield","0901559980","2000","Number","Murder",0
"Plainville","0900360120","2000","Number","Murder",0
"Plymouth","0900560750","2000","Number","Murder",0
"Pomfret","0901561030","2000","Number","Murder",0
"Portland","0900761800","2000","Number","Murder",0
"Preston","0901162150","2000","Number","Murder",0
"Prospect","0900962290","2000","Number","Murder",0
"Putnam","0901562710","2000","Number","Murder",0
"Redding","0900163480","2000","Number","Murder",0
"Ridgefield","0900163970","2000","Number","Murder",0
"Rocky Hill","0900365370","2000","Number","Murder",0
"Roxbury","0900565930","2000","Number","Murder",0
"Salem","0901166210","2000","Number","Murder",0
"Salisbury","0900566420","2000","Number","Murder",0
"Scotland","0901567400","2000","Number","Murder",0
"Seymour","0900967610","2000","Number","Murder",0
"Sharon","0900567960","2000","Number","Murder",0
"Shelton","0900168170","2000","Number","Murder",0
"Sherman","0900168310","2000","Number","Murder",0
"Simsbury","0900368940","2000","Number","Murder",0
"Somers","0901369220","2000","Number","Murder",0
"South Windsor","0900371390","2000","Number","Murder",0
"Southbury","0900969640","2000","Number","Murder",0
"Southington","0900370550","2000","Number","Murder",0
"Sprague","0901171670","2000","Number","Murder",0
"Stafford","0901372090","2000","Number","Murder",0
"Stamford","0900173070","2000","Number","Murder",1
"Sterling","0901573420","2000","Number","Murder",0
"Stonington","0901173770","2000","Number","Murder",0
"Stratford","0900174190","2000","Number","Murder",0
"Suffield","0900374540","2000","Number","Murder",0
"Thomaston","0900575730","2000","Number","Murder",0
"Thompson","0901575870","2000","Number","Murder",0
"Tolland","0901376290","2000","Number","Murder",0
"Torrington","0900576570","2000","Number","Murder",0
"Trumbull","0900177200","2000","Number","Murder",0
"Union","0901377830","2000","Number","Murder",0
"Vernon","0901378250","2000","Number","Murder",0
