"Town","FIPS","Year","Measure Type","Variable","Value"
"Harwinton","0900537280","1999","Number","Total",3
"Hebron","0901337910","1999","Number","Total",6
"Kent","0900540290","1999","Number","Total",3
"Killingly","0901540500","1999","Number","Total",74
"Killingworth","0900740710","1999","Number","Total",1
"Lebanon","0901142390","1999","Number","Total",5
"Ledyard","0901142600","1999","Number","Total",21
"Lisbon","0901143230","1999","Number","Total",4
"Litchfield","0900543370","1999","Number","Total",14
"Lyme","0901144210","1999","Number","Total",0
"Madison","0900944560","1999","Number","Total",3
"Manchester","0900344700","1999","Number","Total",66
"Mansfield","0901344910","1999","Number","Total",25
"Marlborough","0900345820","1999","Number","Total",3
"Meriden","0900946520","1999","Number","Total",299
"Middlebury","0900946940","1999","Number","Total",1
"Middlefield","0900747080","1999","Number","Total",6
"Middletown","0900747360","1999","Number","Total",26
"Milford","0900947535","1999","Number","Total",23
"Monroe","0900148620","1999","Number","Total",3
"Montville","0901148900","1999","Number","Total",65
"Morris","0900549460","1999","Number","Total",1
"Naugatuck","0900949950","1999","Number","Total",56
"New Britain","0900350440","1999","Number","Total",195
"New Canaan","0900150580","1999","Number","Total",6
"New Fairfield","0900150860","1999","Number","Total",13
"New Hartford","0900551350","1999","Number","Total",2
"New Haven","0900952070","1999","Number","Total",1018
"New London","0901152350","1999","Number","Total",169
"New Milford","0900552630","1999","Number","Total",26
"Newington","0900352140","1999","Number","Total",5
"Newtown","0900152980","1999","Number","Total",7
"Norfolk","0900553470","1999","Number","Total",2
"North Branford","0900953890","1999","Number","Total",5
"North Canaan","0900554030","1999","Number","Total",8
"North Haven","0900954870","1999","Number","Total",9
"North Stonington","0901155500","1999","Number","Total",8
"Norwalk","0900156060","1999","Number","Total",117
"Norwich","0901156270","1999","Number","Total",87
"Old Lyme","0901157040","1999","Number","Total",10
"Old Saybrook","0900757320","1999","Number","Total",4
"Orange","0900957600","1999","Number","Total",3
"Oxford","0900958300","1999","Number","Total",15
"Plainfield","0901559980","1999","Number","Total",68
"Plainville","0900360120","1999","Number","Total",10
"Plymouth","0900560750","1999","Number","Total",2
"Pomfret","0901561030","1999","Number","Total",4
"Portland","0900761800","1999","Number","Total",5
"Preston","0901162150","1999","Number","Total",8
"Prospect","0900962290","1999","Number","Total",6
"Putnam","0901562710","1999","Number","Total",5
"Redding","0900163480","1999","Number","Total",4
"Ridgefield","0900163970","1999","Number","Total",0
"Rocky Hill","0900365370","1999","Number","Total",14
"Roxbury","0900565930","1999","Number","Total",0
"Salem","0901166210","1999","Number","Total",1
"Salisbury","0900566420","1999","Number","Total",6
"Scotland","0901567400","1999","Number","Total",3
"Seymour","0900967610","1999","Number","Total",32
"Sharon","0900567960","1999","Number","Total",2
"Shelton","0900168170","1999","Number","Total",13
"Sherman","0900168310","1999","Number","Total",3
"Simsbury","0900368940","1999","Number","Total",16
"Somers","0901369220","1999","Number","Total",16
"South Windsor","0900371390","1999","Number","Total",9
"Southbury","0900969640","1999","Number","Total",26
"Southington","0900370550","1999","Number","Total",8
"Sprague","0901171670","1999","Number","Total",6
"Stafford","0901372090","1999","Number","Total",25
"Stamford","0900173070","1999","Number","Total",194
"Sterling","0901573420","1999","Number","Total",6
"Stonington","0901173770","1999","Number","Total",9
"Stratford","0900174190","1999","Number","Total",26
"Suffield","0900374540","1999","Number","Total",3
"Thomaston","0900575730","1999","Number","Total",2
"Thompson","0901575870","1999","Number","Total",21
"Tolland","0901376290","1999","Number","Total",10
"Torrington","0900576570","1999","Number","Total",44
"Trumbull","0900177200","1999","Number","Total",6
"Union","0901377830","1999","Number","Total",1
"Vernon","0901378250","1999","Number","Total",14
"Voluntown","0901178600","1999","Number","Total",6
"Wallingford","0900978740","1999","Number","Total",48
"Warren","0900579510","1999","Number","Total",3
"Washington","0900579720","1999","Number","Total",1
"Waterbury","0900980070","1999","Number","Total",328
"Waterford","0901180280","1999","Number","Total",14
"Watertown","0900580490","1999","Number","Total",0
"West Hartford","0900382590","1999","Number","Total",32
"West Haven","0900982870","1999","Number","Total",33
"Westbrook","0900781680","1999","Number","Total",9
"Weston","0900183430","1999","Number","Total",2
"Westport","0900183500","1999","Number","Total",8
"Wethersfield","0900384900","1999","Number","Total",6
"Willington","0901385950","1999","Number","Total",4
"Wilton","0900186370","1999","Number","Total",1
"Winchester","0900586440","1999","Number","Total",24
"Windham","0901586790","1999","Number","Total",27
"Windsor","0900387000","1999","Number","Total",10
"Windsor Locks","0900387070","1999","Number","Total",5
"Wolcott","0900987560","1999","Number","Total",2
"Woodbridge","0900987700","1999","Number","Total",13
"Woodbury","0900587910","1999","Number","Total",8
"Woodstock","0901588190","1999","Number","Total",7
"Andover","0901301080","2000","Number","Total",2
"Ansonia","0900901220","2000","Number","Total",39
"Ashford","0901501430","2000","Number","Total",5
"Avon","0900302060","2000","Number","Total",4
"Barkhamsted","0900502760","2000","Number","Total",2
"Beacon Falls","0900903250","2000","Number","Total",13
"Berlin","0900304300","2000","Number","Total",1
"Bethany","0900904580","2000","Number","Total",4
"Bethel","0900104720","2000","Number","Total",1
"Bethlehem","0900504930","2000","Number","Total",3
"Bloomfield","0900305910","2000","Number","Total",144
"Bolton","0901306260","2000","Number","Total",6
"Bozrah","0901106820","2000","Number","Total",4
"Branford","0900907310","2000","Number","Total",19
"Bridgeport","0900108070","2000","Number","Total",1291
"Bridgewater","0900508210","2000","Number","Total",0
"Bristol","0900308490","2000","Number","Total",186
"Brookfield","0900108980","2000","Number","Total",5
"Brooklyn","0901509190","2000","Number","Total",15
"Burlington","0900310100","2000","Number","Total",7
"Canaan","0900510940","2000","Number","Total",2
"Canterbury","0901512130","2000","Number","Total",7
"Canton","0900312270","2000","Number","Total",4
"Chaplin","0901513810","2000","Number","Total",3
"Cheshire","0900914160","2000","Number","Total",5
"Chester","0900714300","2000","Number","Total",5
"Clinton","0900715350","2000","Number","Total",9
"Colchester","0901115910","2000","Number","Total",18
"Colebrook","0900516050","2000","Number","Total",3
"Columbia","0901316400","2000","Number","Total",1
"Connecticut","09","2000","Number","Total",6642
"Cornwall","0900517240","2000","Number","Total",0
"Coventry","0901317800","2000","Number","Total",14
"Cromwell","0900718080","2000","Number","Total",1
"Danbury","0900118500","2000","Number","Total",74
"Darien","0900118850","2000","Number","Total",2
"Deep River","0900719130","2000","Number","Total",11
"Derby","0900919550","2000","Number","Total",28
"Durham","0900720810","2000","Number","Total",13
"East Granby","0900322070","2000","Number","Total",7
"East Haddam","0900722280","2000","Number","Total",27
"East Hampton","0900722490","2000","Number","Total",14
"East Hartford","0900322630","2000","Number","Total",229
"East Haven","0900922910","2000","Number","Total",39
"East Lyme","0901123400","2000","Number","Total",34
"East Windsor","0900324800","2000","Number","Total",4
"Eastford","0901521860","2000","Number","Total",2
"Easton","0900123890","2000","Number","Total",0
"Ellington","0901325360","2000","Number","Total",19
"Enfield","0900325990","2000","Number","Total",46
"Essex","0900726270","2000","Number","Total",5
"Fairfield","0900126620","2000","Number","Total",2
"Farmington","0900327600","2000","Number","Total",10
"Franklin","0901129910","2000","Number","Total",4
"Glastonbury","0900331240","2000","Number","Total",3
"Goshen","0900532290","2000","Number","Total",1
"Granby","0900332640","2000","Number","Total",0
"Greenwich","0900133620","2000","Number","Total",12
"Griswold","0901133900","2000","Number","Total",26
"Groton","0901134250","2000","Number","Total",30
"Guilford","0900934950","2000","Number","Total",15
"Haddam","0900735230","2000","Number","Total",7
"Hamden","0900935650","2000","Number","Total",34
"Hampton","0901536000","2000","Number","Total",2
"Hartford","0900337070","2000","Number","Total",558
"Hartland","0900337140","2000","Number","Total",1
"Harwinton","0900537280","2000","Number","Total",2
"Hebron","0901337910","2000","Number","Total",6
"Kent","0900540290","2000","Number","Total",1
"Killingly","0901540500","2000","Number","Total",81
"Killingworth","0900740710","2000","Number","Total",1
"Lebanon","0901142390","2000","Number","Total",5
"Ledyard","0901142600","2000","Number","Total",23
"Lisbon","0901143230","2000","Number","Total",4
"Litchfield","0900543370","2000","Number","Total",13
"Lyme","0901144210","2000","Number","Total",1
"Madison","0900944560","2000","Number","Total",1
"Manchester","0900344700","2000","Number","Total",100
"Mansfield","0901344910","2000","Number","Total",18
"Marlborough","0900345820","2000","Number","Total",6
"Meriden","0900946520","2000","Number","Total",41
"Middlebury","0900946940","2000","Number","Total",2
"Middlefield","0900747080","2000","Number","Total",5
"Middletown","0900747360","2000","Number","Total",17
"Milford","0900947535","2000","Number","Total",23
"Monroe","0900148620","2000","Number","Total",2
"Montville","0901148900","2000","Number","Total",49
"Morris","0900549460","2000","Number","Total",3
"Naugatuck","0900949950","2000","Number","Total",39
"New Britain","0900350440","2000","Number","Total",177
"New Canaan","0900150580","2000","Number","Total",3
"New Fairfield","0900150860","2000","Number","Total",13
"New Hartford","0900551350","2000","Number","Total",4
"New Haven","0900952070","2000","Number","Total",971
"New London","0901152350","2000","Number","Total",146
"New Milford","0900552630","2000","Number","Total",14
"Newington","0900352140","2000","Number","Total",0
"Newtown","0900152980","2000","Number","Total",6
"Norfolk","0900553470","2000","Number","Total",1
"North Branford","0900953890","2000","Number","Total",8
"North Canaan","0900554030","2000","Number","Total",13
"North Haven","0900954870","2000","Number","Total",4
"North Stonington","0901155500","2000","Number","Total",10
"Norwalk","0900156060","2000","Number","Total",231
"Norwich","0901156270","2000","Number","Total",88
"Old Lyme","0901157040","2000","Number","Total",9
"Old Saybrook","0900757320","2000","Number","Total",19
"Orange","0900957600","2000","Number","Total",3
"Oxford","0900958300","2000","Number","Total",16
"Plainfield","0901559980","2000","Number","Total",60
"Plainville","0900360120","2000","Number","Total",10
"Plymouth","0900560750","2000","Number","Total",0
"Pomfret","0901561030","2000","Number","Total",5
"Portland","0900761800","2000","Number","Total",2
"Preston","0901162150","2000","Number","Total",4
"Prospect","0900962290","2000","Number","Total",8
"Putnam","0901562710","2000","Number","Total",10
"Redding","0900163480","2000","Number","Total",2
"Ridgefield","0900163970","2000","Number","Total",4
"Rocky Hill","0900365370","2000","Number","Total",13
"Roxbury","0900565930","2000","Number","Total",2
"Salem","0901166210","2000","Number","Total",5
"Salisbury","0900566420","2000","Number","Total",4
"Scotland","0901567400","2000","Number","Total",2
"Seymour","0900967610","2000","Number","Total",33
"Sharon","0900567960","2000","Number","Total",3
"Shelton","0900168170","2000","Number","Total",27
"Sherman","0900168310","2000","Number","Total",1
"Simsbury","0900368940","2000","Number","Total",5
"Somers","0901369220","2000","Number","Total",8
"South Windsor","0900371390","2000","Number","Total",17
"Southbury","0900969640","2000","Number","Total",26
"Southington","0900370550","2000","Number","Total",11
"Sprague","0901171670","2000","Number","Total",2
"Stafford","0901372090","2000","Number","Total",30
"Stamford","0900173070","2000","Number","Total",155
"Sterling","0901573420","2000","Number","Total",6
"Stonington","0901173770","2000","Number","Total",5
"Stratford","0900174190","2000","Number","Total",43
"Suffield","0900374540","2000","Number","Total",0
"Thomaston","0900575730","2000","Number","Total",3
"Thompson","0901575870","2000","Number","Total",13
"Tolland","0901376290","2000","Number","Total",9
"Torrington","0900576570","2000","Number","Total",112
"Trumbull","0900177200","2000","Number","Total",12
"Union","0901377830","2000","Number","Total",1
"Vernon","0901378250","2000","Number","Total",9
"Voluntown","0901178600","2000","Number","Total",6
"Wallingford","0900978740","2000","Number","Total",6
"Warren","0900579510","2000","Number","Total",1
"Washington","0900579720","2000","Number","Total",3
"Waterbury","0900980070","2000","Number","Total",241
"Waterford","0901180280","2000","Number","Total",23
"Watertown","0900580490","2000","Number","Total",1
"West Hartford","0900382590","2000","Number","Total",26
"West Haven","0900982870","2000","Number","Total",17
"Westbrook","0900781680","2000","Number","Total",16
"Weston","0900183430","2000","Number","Total",1
"Westport","0900183500","2000","Number","Total",17
"Wethersfield","0900384900","2000","Number","Total",12
"Willington","0901385950","2000","Number","Total",10
"Wilton","0900186370","2000","Number","Total",10
"Winchester","0900586440","2000","Number","Total",9
"Windham","0901586790","2000","Number","Total",32
"Windsor","0900387000","2000","Number","Total",5
"Windsor Locks","0900387070","2000","Number","Total",4
"Wolcott","0900987560","2000","Number","Total",1
"Woodbridge","0900987700","2000","Number","Total",9
"Woodbury","0900587910","2000","Number","Total",11
"Woodstock","0901588190","2000","Number","Total",10
"Andover","0901301080","2001","Number","Total",2
"Ansonia","0900901220","2001","Number","Total",70
"Ashford","0901501430","2001","Number","Total",4
"Avon","0900302060","2001","Number","Total",0
"Barkhamsted","0900502760","2001","Number","Total",2
"Beacon Falls","0900903250","2001","Number","Total",14
"Berlin","0900304300","2001","Number","Total",3
"Bethany","0900904580","2001","Number","Total",4
"Bethel","0900104720","2001","Number","Total",3
"Bethlehem","0900504930","2001","Number","Total",7
"Bloomfield","0900305910","2001","Number","Total",141
"Bolton","0901306260","2001","Number","Total",3
"Bozrah","0901106820","2001","Number","Total",4
"Branford","0900907310","2001","Number","Total",32
"Bridgeport","0900108070","2001","Number","Total",1217
"Bridgewater","0900508210","2001","Number","Total",0
"Bristol","0900308490","2001","Number","Total",180
"Brookfield","0900108980","2001","Number","Total",8
"Brooklyn","0901509190","2001","Number","Total",21
"Burlington","0900310100","2001","Number","Total",10
"Canaan","0900510940","2001","Number","Total",4
"Canterbury","0901512130","2001","Number","Total",5
"Canton","0900312270","2001","Number","Total",7
"Chaplin","0901513810","2001","Number","Total",6
"Cheshire","0900914160","2001","Number","Total",2
"Chester","0900714300","2001","Number","Total",3
"Clinton","0900715350","2001","Number","Total",8
"Colchester","0901115910","2001","Number","Total",23
"Colebrook","0900516050","2001","Number","Total",0
"Columbia","0901316400","2001","Number","Total",5
"Connecticut","09","2001","Number","Total",6651
"Cornwall","0900517240","2001","Number","Total",1
"Coventry","0901317800","2001","Number","Total",10
"Cromwell","0900718080","2001","Number","Total",2
"Danbury","0900118500","2001","Number","Total",81
"Darien","0900118850","2001","Number","Total",3
"Deep River","0900719130","2001","Number","Total",17
"Derby","0900919550","2001","Number","Total",11
"Durham","0900720810","2001","Number","Total",5
"East Granby","0900322070","2001","Number","Total",9
"East Haddam","0900722280","2001","Number","Total",9
"East Hampton","0900722490","2001","Number","Total",3
"East Hartford","0900322630","2001","Number","Total",163
"East Haven","0900922910","2001","Number","Total",41
"East Lyme","0901123400","2001","Number","Total",30
"East Windsor","0900324800","2001","Number","Total",22
"Eastford","0901521860","2001","Number","Total",0
"Easton","0900123890","2001","Number","Total",2
"Ellington","0901325360","2001","Number","Total",15
"Enfield","0900325990","2001","Number","Total",75
"Essex","0900726270","2001","Number","Total",5
"Fairfield","0900126620","2001","Number","Total",11
"Farmington","0900327600","2001","Number","Total",9
"Franklin","0901129910","2001","Number","Total",4
"Glastonbury","0900331240","2001","Number","Total",4
"Goshen","0900532290","2001","Number","Total",2
"Granby","0900332640","2001","Number","Total",1
"Greenwich","0900133620","2001","Number","Total",20
"Griswold","0901133900","2001","Number","Total",27
"Groton","0901134250","2001","Number","Total",44
"Guilford","0900934950","2001","Number","Total",11
"Haddam","0900735230","2001","Number","Total",8
"Hamden","0900935650","2001","Number","Total",49
"Hampton","0901536000","2001","Number","Total",1
"Hartford","0900337070","2001","Number","Total",615
"Hartland","0900337140","2001","Number","Total",1
"Harwinton","0900537280","2001","Number","Total",6
"Hebron","0901337910","2001","Number","Total",6
"Kent","0900540290","2001","Number","Total",4
"Killingly","0901540500","2001","Number","Total",88
"Killingworth","0900740710","2001","Number","Total",3
"Lebanon","0901142390","2001","Number","Total",10
"Ledyard","0901142600","2001","Number","Total",28
"Lisbon","0901143230","2001","Number","Total",4
"Litchfield","0900543370","2001","Number","Total",18
"Lyme","0901144210","2001","Number","Total",1
"Madison","0900944560","2001","Number","Total",4
"Manchester","0900344700","2001","Number","Total",60
"Mansfield","0901344910","2001","Number","Total",17
"Marlborough","0900345820","2001","Number","Total",3
"Meriden","0900946520","2001","Number","Total",35
"Middlebury","0900946940","2001","Number","Total",0
"Middlefield","0900747080","2001","Number","Total",7
"Middletown","0900747360","2001","Number","Total",28
"Milford","0900947535","2001","Number","Total",25
"Monroe","0900148620","2001","Number","Total",3
"Montville","0901148900","2001","Number","Total",63
"Morris","0900549460","2001","Number","Total",3
"Naugatuck","0900949950","2001","Number","Total",32
"New Britain","0900350440","2001","Number","Total",168
"New Canaan","0900150580","2001","Number","Total",1
"New Fairfield","0900150860","2001","Number","Total",10
"New Hartford","0900551350","2001","Number","Total",2
"New Haven","0900952070","2001","Number","Total",1082
"New London","0901152350","2001","Number","Total",133
"New Milford","0900552630","2001","Number","Total",24
"Newington","0900352140","2001","Number","Total",11
"Newtown","0900152980","2001","Number","Total",4
"Norfolk","0900553470","2001","Number","Total",0
"North Branford","0900953890","2001","Number","Total",2
"North Canaan","0900554030","2001","Number","Total",9
"North Haven","0900954870","2001","Number","Total",4
"North Stonington","0901155500","2001","Number","Total",6
"Norwalk","0900156060","2001","Number","Total",125
"Norwich","0901156270","2001","Number","Total",69
"Old Lyme","0901157040","2001","Number","Total",7
"Old Saybrook","0900757320","2001","Number","Total",3
"Orange","0900957600","2001","Number","Total",2
"Oxford","0900958300","2001","Number","Total",10
"Plainfield","0901559980","2001","Number","Total",47
"Plainville","0900360120","2001","Number","Total",7
"Plymouth","0900560750","2001","Number","Total",8
"Pomfret","0901561030","2001","Number","Total",5
"Portland","0900761800","2001","Number","Total",5
"Preston","0901162150","2001","Number","Total",6
"Prospect","0900962290","2001","Number","Total",10
"Putnam","0901562710","2001","Number","Total",8
"Redding","0900163480","2001","Number","Total",1
"Ridgefield","0900163970","2001","Number","Total",0
"Rocky Hill","0900365370","2001","Number","Total",5
"Roxbury","0900565930","2001","Number","Total",0
"Salem","0901166210","2001","Number","Total",5
"Salisbury","0900566420","2001","Number","Total",5
"Scotland","0901567400","2001","Number","Total",4
"Seymour","0900967610","2001","Number","Total",21
"Sharon","0900567960","2001","Number","Total",0
"Shelton","0900168170","2001","Number","Total",18
"Sherman","0900168310","2001","Number","Total",4
"Simsbury","0900368940","2001","Number","Total",1
"Somers","0901369220","2001","Number","Total",21
"South Windsor","0900371390","2001","Number","Total",16
"Southbury","0900969640","2001","Number","Total",27
"Southington","0900370550","2001","Number","Total",25
"Sprague","0901171670","2001","Number","Total",9
"Stafford","0901372090","2001","Number","Total",14
"Stamford","0900173070","2001","Number","Total",116
"Sterling","0901573420","2001","Number","Total",10
"Stonington","0901173770","2001","Number","Total",4
"Stratford","0900174190","2001","Number","Total",41
"Suffield","0900374540","2001","Number","Total",2
"Thomaston","0900575730","2001","Number","Total",3
"Thompson","0901575870","2001","Number","Total",18
"Tolland","0901376290","2001","Number","Total",13
"Torrington","0900576570","2001","Number","Total",130
"Trumbull","0900177200","2001","Number","Total",10
"Union","0901377830","2001","Number","Total",0
"Vernon","0901378250","2001","Number","Total",19
"Voluntown","0901178600","2001","Number","Total",3
"Wallingford","0900978740","2001","Number","Total",15
"Warren","0900579510","2001","Number","Total",0
"Washington","0900579720","2001","Number","Total",12
"Waterbury","0900980070","2001","Number","Total",224
"Waterford","0901180280","2001","Number","Total",18
"Watertown","0900580490","2001","Number","Total",1
"West Hartford","0900382590","2001","Number","Total",31
"West Haven","0900982870","2001","Number","Total",98
"Westbrook","0900781680","2001","Number","Total",9
"Weston","0900183430","2001","Number","Total",2
"Westport","0900183500","2001","Number","Total",32
"Wethersfield","0900384900","2001","Number","Total",8
"Willington","0901385950","2001","Number","Total",9
"Wilton","0900186370","2001","Number","Total",3
"Winchester","0900586440","2001","Number","Total",4
"Windham","0901586790","2001","Number","Total",30
"Windsor","0900387000","2001","Number","Total",3
"Windsor Locks","0900387070","2001","Number","Total",4
"Wolcott","0900987560","2001","Number","Total",5
"Woodbridge","0900987700","2001","Number","Total",9
"Woodbury","0900587910","2001","Number","Total",8
"Woodstock","0901588190","2001","Number","Total",4
"Andover","0901301080","2002","Number","Total",4
"Ansonia","0900901220","2002","Number","Total",12
"Ashford","0901501430","2002","Number","Total",6
"Avon","0900302060","2002","Number","Total",0
"Barkhamsted","0900502760","2002","Number","Total",2
"Beacon Falls","0900903250","2002","Number","Total",15
"Berlin","0900304300","2002","Number","Total",12
"Bethany","0900904580","2002","Number","Total",4
"Bethel","0900104720","2002","Number","Total",3
"Bethlehem","0900504930","2002","Number","Total",2
"Bloomfield","0900305910","2002","Number","Total",95
"Bolton","0901306260","2002","Number","Total",7
"Bozrah","0901106820","2002","Number","Total",7
"Branford","0900907310","2002","Number","Total",17
"Bridgeport","0900108070","2002","Number","Total",1063
"Bridgewater","0900508210","2002","Number","Total",0
"Bristol","0900308490","2002","Number","Total",54
"Brookfield","0900108980","2002","Number","Total",11
"Brooklyn","0901509190","2002","Number","Total",16
"Burlington","0900310100","2002","Number","Total",13
"Canaan","0900510940","2002","Number","Total",1
"Canterbury","0901512130","2002","Number","Total",6
"Canton","0900312270","2002","Number","Total",4
"Chaplin","0901513810","2002","Number","Total",3
"Cheshire","0900914160","2002","Number","Total",2
"Chester","0900714300","2002","Number","Total",1
"Clinton","0900715350","2002","Number","Total",2
"Colchester","0901115910","2002","Number","Total",14
"Colebrook","0900516050","2002","Number","Total",0
"Columbia","0901316400","2002","Number","Total",4
"Connecticut","09","2002","Number","Total",5697
"Cornwall","0900517240","2002","Number","Total",0
"Coventry","0901317800","2002","Number","Total",7
"Cromwell","0900718080","2002","Number","Total",4
"Danbury","0900118500","2002","Number","Total",62
"Darien","0900118850","2002","Number","Total",1
"Deep River","0900719130","2002","Number","Total",7
"Derby","0900919550","2002","Number","Total",5
"Durham","0900720810","2002","Number","Total",4
"East Granby","0900322070","2002","Number","Total",5
"East Haddam","0900722280","2002","Number","Total",10
"East Hampton","0900722490","2002","Number","Total",5
"East Hartford","0900322630","2002","Number","Total",89
"East Haven","0900922910","2002","Number","Total",32
"East Lyme","0901123400","2002","Number","Total",32
"East Windsor","0900324800","2002","Number","Total",2
"Eastford","0901521860","2002","Number","Total",0
"Easton","0900123890","2002","Number","Total",0
"Ellington","0901325360","2002","Number","Total",15
"Enfield","0900325990","2002","Number","Total",36
"Essex","0900726270","2002","Number","Total",9
"Fairfield","0900126620","2002","Number","Total",7
"Farmington","0900327600","2002","Number","Total",5
"Franklin","0901129910","2002","Number","Total",3
"Glastonbury","0900331240","2002","Number","Total",8
"Goshen","0900532290","2002","Number","Total",1
"Granby","0900332640","2002","Number","Total",3
"Greenwich","0900133620","2002","Number","Total",11
"Griswold","0901133900","2002","Number","Total",16
"Groton","0901134250","2002","Number","Total",43
"Guilford","0900934950","2002","Number","Total",12
"Haddam","0900735230","2002","Number","Total",4
"Hamden","0900935650","2002","Number","Total",35
"Hampton","0901536000","2002","Number","Total",0
"Hartford","0900337070","2002","Number","Total",571
"Hartland","0900337140","2002","Number","Total",3
"Harwinton","0900537280","2002","Number","Total",3
"Hebron","0901337910","2002","Number","Total",6
"Kent","0900540290","2002","Number","Total",0
"Killingly","0901540500","2002","Number","Total",82
"Killingworth","0900740710","2002","Number","Total",6
"Lebanon","0901142390","2002","Number","Total",9
"Ledyard","0901142600","2002","Number","Total",25
"Lisbon","0901143230","2002","Number","Total",5
"Litchfield","0900543370","2002","Number","Total",16
"Lyme","0901144210","2002","Number","Total",1
"Madison","0900944560","2002","Number","Total",4
"Manchester","0900344700","2002","Number","Total",51
"Mansfield","0901344910","2002","Number","Total",15
"Marlborough","0900345820","2002","Number","Total",3
"Meriden","0900946520","2002","Number","Total",48
"Middlebury","0900946940","2002","Number","Total",0
"Middlefield","0900747080","2002","Number","Total",2
"Middletown","0900747360","2002","Number","Total",30
"Milford","0900947535","2002","Number","Total",31
"Monroe","0900148620","2002","Number","Total",2
"Montville","0901148900","2002","Number","Total",54
"Morris","0900549460","2002","Number","Total",1
"Naugatuck","0900949950","2002","Number","Total",18
"New Britain","0900350440","2002","Number","Total",148
"New Canaan","0900150580","2002","Number","Total",2
"New Fairfield","0900150860","2002","Number","Total",6
"New Hartford","0900551350","2002","Number","Total",5
"New Haven","0900952070","2002","Number","Total",960
"New London","0901152350","2002","Number","Total",73
"New Milford","0900552630","2002","Number","Total",19
"Newington","0900352140","2002","Number","Total",24
"Newtown","0900152980","2002","Number","Total",6
"Norfolk","0900553470","2002","Number","Total",1
"North Branford","0900953890","2002","Number","Total",6
"North Canaan","0900554030","2002","Number","Total",1
"North Haven","0900954870","2002","Number","Total",8
"North Stonington","0901155500","2002","Number","Total",10
"Norwalk","0900156060","2002","Number","Total",217
"Norwich","0901156270","2002","Number","Total",71
"Old Lyme","0901157040","2002","Number","Total",5
"Old Saybrook","0900757320","2002","Number","Total",3
"Orange","0900957600","2002","Number","Total",0
"Oxford","0900958300","2002","Number","Total",9
"Plainfield","0901559980","2002","Number","Total",31
"Plainville","0900360120","2002","Number","Total",13
"Plymouth","0900560750","2002","Number","Total",12
"Pomfret","0901561030","2002","Number","Total",0
"Portland","0900761800","2002","Number","Total",0
"Preston","0901162150","2002","Number","Total",6
"Prospect","0900962290","2002","Number","Total",10
"Putnam","0901562710","2002","Number","Total",8
"Redding","0900163480","2002","Number","Total",0
"Ridgefield","0900163970","2002","Number","Total",2
"Rocky Hill","0900365370","2002","Number","Total",10
"Roxbury","0900565930","2002","Number","Total",1
"Salem","0901166210","2002","Number","Total",7
"Salisbury","0900566420","2002","Number","Total",0
"Scotland","0901567400","2002","Number","Total",0
"Seymour","0900967610","2002","Number","Total",24
"Sharon","0900567960","2002","Number","Total",0
"Shelton","0900168170","2002","Number","Total",8
"Sherman","0900168310","2002","Number","Total",1
"Simsbury","0900368940","2002","Number","Total",2
"Somers","0901369220","2002","Number","Total",23
"South Windsor","0900371390","2002","Number","Total",14
"Southbury","0900969640","2002","Number","Total",6
"Southington","0900370550","2002","Number","Total",44
"Sprague","0901171670","2002","Number","Total",3
"Stafford","0901372090","2002","Number","Total",26
"Stamford","0900173070","2002","Number","Total",110
"Sterling","0901573420","2002","Number","Total",4
"Stonington","0901173770","2002","Number","Total",9
"Stratford","0900174190","2002","Number","Total",40
"Suffield","0900374540","2002","Number","Total",3
"Thomaston","0900575730","2002","Number","Total",5
"Thompson","0901575870","2002","Number","Total",12
"Tolland","0901376290","2002","Number","Total",15
"Torrington","0900576570","2002","Number","Total",126
"Trumbull","0900177200","2002","Number","Total",5
"Union","0901377830","2002","Number","Total",1
"Vernon","0901378250","2002","Number","Total",23
"Voluntown","0901178600","2002","Number","Total",3
"Wallingford","0900978740","2002","Number","Total",17
"Warren","0900579510","2002","Number","Total",0
"Washington","0900579720","2002","Number","Total",1
"Waterbury","0900980070","2002","Number","Total",249
"Waterford","0901180280","2002","Number","Total",13
"Watertown","0900580490","2002","Number","Total",5
"West Hartford","0900382590","2002","Number","Total",39
"West Haven","0900982870","2002","Number","Total",41
"Westbrook","0900781680","2002","Number","Total",10
"Weston","0900183430","2002","Number","Total",1
"Westport","0900183500","2002","Number","Total",16
"Wethersfield","0900384900","2002","Number","Total",13
"Willington","0901385950","2002","Number","Total",5
"Wilton","0900186370","2002","Number","Total",1
"Winchester","0900586440","2002","Number","Total",2
"Windham","0901586790","2002","Number","Total",18
"Windsor","0900387000","2002","Number","Total",3
"Windsor Locks","0900387070","2002","Number","Total",2
"Wolcott","0900987560","2002","Number","Total",2
"Woodbridge","0900987700","2002","Number","Total",1
"Woodbury","0900587910","2002","Number","Total",14
"Woodstock","0901588190","2002","Number","Total",5
"Andover","0901301080","2003","Number","Total",1
"Ansonia","0900901220","2003","Number","Total",13
"Ashford","0901501430","2003","Number","Total",3
"Avon","0900302060","2003","Number","Total",3
"Barkhamsted","0900502760","2003","Number","Total",0
"Beacon Falls","0900903250","2003","Number","Total",2
"Berlin","0900304300","2003","Number","Total",9
"Bethany","0900904580","2003","Number","Total",1
"Bethel","0900104720","2003","Number","Total",5
"Bethlehem","0900504930","2003","Number","Total",0
"Bloomfield","0900305910","2003","Number","Total",51
"Bolton","0901306260","2003","Number","Total",3
